Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q1_8,Q1_9,Q1_10,Q1_11,Q1_12,Q1_13,Q1_14,Q1_15,Q1_16,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9
"Simulator Sickness Questionnaire

Indica en qué medida te está afectando cada uno de los siguientes síntomas en este momento - Malestar general","Simulator Sickness Questionnaire

Indica en qué medida te está afectando cada uno de los siguientes síntomas en este momento - Cansancio","Simulator Sickness Questionnaire

Indica en qué medida te está afectando cada uno de los siguientes síntomas en este momento - Dolor de cabeza","Simulator Sickness Questionnaire

Indica en qué medida te está afectando cada uno de los siguientes síntomas en este momento - Vista cansada","Simulator Sickness Questionnaire

Indica en qué medida te está afectando cada uno de los siguientes síntomas en este momento - Dificultad para enfocar","Simulator Sickness Questionnaire

Indica en qué medida te está afectando cada uno de los siguientes síntomas en este momento - Aumento de salivación","Simulator Sickness Questionnaire

Indica en qué medida te está afectando cada uno de los siguientes síntomas en este momento - Sudoración","Simulator Sickness Questionnaire

Indica en qué medida te está afectando cada uno de los siguientes síntomas en este momento - Náusea","Simulator Sickness Questionnaire

Indica en qué medida te está afectando cada uno de los siguientes síntomas en este momento - Dificultad para concentrarse","Simulator Sickness Questionnaire

Indica en qué medida te está afectando cada uno de los siguientes síntomas en este momento - Pesadez de cabeza","Simulator Sickness Questionnaire

Indica en qué medida te está afectando cada uno de los siguientes síntomas en este momento - Visión borrosa","Simulator Sickness Questionnaire

Indica en qué medida te está afectando cada uno de los siguientes síntomas en este momento - Mareos con ojos abiertos","Simulator Sickness Questionnaire

Indica en qué medida te está afectando cada uno de los siguientes síntomas en este momento - Mareos con ojos cerrados","Simulator Sickness Questionnaire

Indica en qué medida te está afectando cada uno de los siguientes síntomas en este momento - Vértigo","Simulator Sickness Questionnaire

Indica en qué medida te está afectando cada uno de los siguientes síntomas en este momento - Estómago revuelto","Simulator Sickness Questionnaire

Indica en qué medida te está afectando cada uno de los siguientes síntomas en este momento - Eructos","Usabilidad del Sistema (SUS)
Indica el grado de acuerdo o desacuerdo de las siguientes afirmaciones: - Creo que me gustaría usar este sistema frecuentemente.","Usabilidad del Sistema (SUS)
Indica el grado de acuerdo o desacuerdo de las siguientes afirmaciones: - Encontré el sistema innecesariamente complejo.","Usabilidad del Sistema (SUS)
Indica el grado de acuerdo o desacuerdo de las siguientes afirmaciones: - Pensé que el sistema era fácil de usar.","Usabilidad del Sistema (SUS)
Indica el grado de acuerdo o desacuerdo de las siguientes afirmaciones: - Creo que necesitaría la ayuda de personal técnico para poder usar este sistema.","Usabilidad del Sistema (SUS)
Indica el grado de acuerdo o desacuerdo de las siguientes afirmaciones: - Encontré que las diversas funciones de este sistema estaban bien integradas.","Usabilidad del Sistema (SUS)
Indica el grado de acuerdo o desacuerdo de las siguientes afirmaciones: - Pensé que había demasiada inconsistencia en este sistema.","Usabilidad del Sistema (SUS)
Indica el grado de acuerdo o desacuerdo de las siguientes afirmaciones: - Imagino que la mayoría de las personas podrían aprender a usar este sistema muy rápidamente.","Usabilidad del Sistema (SUS)
Indica el grado de acuerdo o desacuerdo de las siguientes afirmaciones: - Encontré el sistema muy difícil de usar.","Usabilidad del Sistema (SUS)
Indica el grado de acuerdo o desacuerdo de las siguientes afirmaciones: - Me sentí muy seguro usando el sistema.","Usabilidad del Sistema (SUS)
Indica el grado de acuerdo o desacuerdo de las siguientes afirmaciones: - Necesité aprender muchas cosas antes de poder empezar a usar este sistema.",Accomplishment - Makes me feel that I need to complete things,Accomplishment - Pushes me to strive for accomplishments,Accomplishment - Inspires me to maintain my standards of performance,Accomplishment - Makes me feel that success comes through accomplishments,Accomplishment - Makes me strive to take myself to the next level,Accomplishment - Motivates me to progress and get better,Accomplishment - Makes me feel like I have clear goals,Accomplishment - Gives me the feeling that I need to reach goals,Challenge - Makes me push my limits,Challenge - Drives me in a good way to the brink of wanting to give up,Challenge - Pressures me in a positive way by its high demands,Challenges me,Challenge - Calls for a lot of effort in order for me to be successful,Challenge - Motivates me to do things that feel highly demanding,Challenge - Makes me feel like I continuously need to improve in order to do well,Challenge - Makes me work at a level close to what I am capable of,Competition - Feels like participating in a competition,Competition - Inspires me to compete,Competition - Involves me by its competitive aspects,Competition - Makes me want to be in first place,Competition - Makes victory feel important,Competition - Feels like being in a race,Competition - Makes me feel that I need to win to succeed,Guided - Makes me feel guided,Guided - Gives me a sense of being directed,Guided - Makes me feel like someone is keeping me on track,Guided - Gives me the feeling that I have an instructor,Guided - Gives me the sense I am getting help to be structured,Guided - Gives me a sense of knowing what I need to do to do better,Guided - Gives me useful feedback so I can adapt,Immersion - Gives me the feeling that time passes quickly,Immersion - Grabs all of my attention,Immersion - Gives me a sense of being separated from the real world,Immersion - Makes me lose myself in what I am doing,Immersion - Makes my actions seem to come automatically,Immersion - Causes me to stop noticing when I get tired,Immersion - Causes me to forget about my everyday concerns,Immersion - Makes me ignore everything around me,Immersion - Gets me fully emotionally involved,Playfulness - Gives me an overall playful experience,Playfulness - Leaves room for me to be spontaneous,Playfulness - Taps into my imagination,Playfulness - Makes me feel that I can be creative,Playfulness - Gives me the feeling that I explore things,Playfulness - Feels like a mystery to reveal,Playfulness - Gives me a feeling that I want to know what comes next,Playfulness - Makes me feel like I discover new things,Playfulness - Appeals to my curiosity,Social experience - Gives me the feeling that I’m not on my own,Social experience - Gives me a sense of social support,Social experience - Taps into my imagination,Social experience - Makes me feel like I am socially involved,Social experience - Gives me a feeling of being connected to others,Social experience - Feels like a social experience,Social experience - Gives me a sense of having someone to Share my endeavors with,Social experience - Influences me through its social aspects,Social experience - Gives me a sense of being noticed for what I have achieved
0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,3,1,5,1,5,1,3,1,4,1,7,1,2,7,7,4,7,7,6,4,6,6,7,6,6,6,1,1,1,1,1,1,6,6,6,6,6,6,4,7,5,7,7,7,6,4,2,7,6,7,2,3,3,5,3,6,4,6,1,1,3,1,1,1,1,1,6
1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,4,1,4,2,4,1,5,5,5,1,7,5,7,6,5,6,6,7,4,1,7,6,2,6,5,4,5,5,4,4,4,4,6,6,7,6,6,6,6,6,6,7,7,7,6,4,5,5,7,7,7,7,7,7,6,7,6,7,2,4,5,4,3,3,4,5,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,2,4,1,2,1,5,4,7,7,7,7,7,7,6,7,2,5,5,5,3,2,2,6,5,5,5,5,6,1,7,7,7,6,7,6,2,5,6,7,6,7,7,6,2,7,7,6,6,6,6,7,3,7,6,6,2,2,2,2,2,2,2,2,6
2,2,2,2,2,0,0,1,1,2,1,1,1,0,1,0,3,1,4,1,4,2,5,1,3,1,6,4,2,4,2,2,6,2,2,2,2,2,2,2,2,4,2,2,3,2,3,2,4,6,5,4,6,5,5,6,5,6,6,6,4,5,5,5,2,4,2,2,2,4,2,5,5,2,2,2,2,2,2,2,2,2,2
1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,2,1,4,2,5,1,4,1,5,1,7,7,7,7,7,7,7,7,6,7,6,7,5,7,7,7,5,5,5,5,5,4,5,6,5,6,6,6,7,7,4,6,5,1,5,3,4,5,6,7,4,5,4,7,7,7,7,7,6,6,6,7,7,7,6,6,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,1,5,2,4,1,5,1,4,5,6,5,6,6,5,5,5,5,5,6,4,6,5,6,4,4,4,4,4,4,4,4,4,6,5,5,6,4,6,6,6,6,6,6,6,5,6,5,5,6,5,5,4,6,5,6,4,5,5,5,5,5,5,5,4
0,1,0,0,2,0,0,0,0,1,1,0,0,0,1,0,4,1,4,2,4,2,3,1,4,1,6,5,6,5,5,5,6,6,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,6,7,5,6,5,3,5,6,5,4,6,6,4,5,5,5,5,5,5,5,5,2,2,3,6,4,3,5,3,3,3,3,3,3
1,1,0,1,1,0,2,1,1,1,1,1,1,0,1,0,3,1,5,2,4,2,4,2,3,4,7,6,6,6,6,6,6,6,4,6,6,6,3,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,5,5,6,6,7,7,6,5,7,6,6,6,3,6,3,6,6,6,6,6,4,4,6,6,3,6,5,6,6
1,0,1,0,1,1,0,2,1,1,1,0,1,1,1,0,3,3,4,3,5,2,5,2,4,2,6,6,7,6,6,6,6,7,5,5,5,5,4,4,5,4,6,7,6,6,6,7,6,6,6,5,7,5,5,5,6,6,5,7,6,4,6,5,5,6,5,6,5,6,5,5,5,6,4,5,5,2,2,5,4,5,4
